"enter" "exit" "position" "id" "zone" "name"
53253 55394 2.65079751109692 25 1 "Bond Street "
54437 56737 2.65079751109692 25 1 "Bond Street "
7970 7747 3.87718891707102 26 1 "Borough "
8399 8062 3.87718891707102 26 1 "Borough "
8817 8484 3.87718891707102 26 1 "Borough "
8325 8240 3.87718891707102 26 1 "Borough "
8546 8357 3.87718891707102 26 1 "Borough "
7830 7616 3.87718891707102 26 1 "Borough "
8152 8006 3.87718891707102 26 1 "Borough "
8730 8356 3.87718891707102 26 1 "Borough "
8109 7985 3.87718891707102 26 1 "Borough "
8367 8285 3.87718891707102 26 1 "Borough "
3278 3343 14.5093844429338 27 4 "Boston Manor "
3563 3656 14.5093844429338 27 4 "Boston Manor "
3465 3500 14.5093844429338 27 4 "Boston Manor "
3483 3437 14.5093844429338 27 4 "Boston Manor "
3438 3350 14.5093844429338 27 4 "Boston Manor "
3372 3442 14.5093844429338 27 4 "Boston Manor "
3514 3613 14.5093844429338 27 4 "Boston Manor "
3388 3378 14.5093844429338 27 4 "Boston Manor "
3593 3523 14.5093844429338 27 4 "Boston Manor "
3520 3318 14.5093844429338 27 4 "Boston Manor "
8877 9582 8.45138430777506 28 3 "Bounds Green "
10363 8926 8.45138430777506 28 3 "Bounds Green "
10309 9001 8.45138430777506 28 3 "Bounds Green "
10464 8978 8.45138430777506 28 3 "Bounds Green "
10301 9100 8.45138430777506 28 3 "Bounds Green "
10106 8678 8.45138430777506 28 3 "Bounds Green "
10596 9231 8.45138430777506 28 3 "Bounds Green "
10371 9031 8.45138430777506 28 3 "Bounds Green "
10436 8991 8.45138430777506 28 3 "Bounds Green "
10568 8671 8.45138430777506 28 3 "Bounds Green "
9087 8652 6.82112943787488 29 2 "Bow Road "
9270 8874 6.82112943787488 29 2 "Bow Road "
9594 9130 6.82112943787488 29 2 "Bow Road "
9599 8989 6.82112943787488 29 2 "Bow Road "
10195 9089 6.82112943787488 29 2 "Bow Road "
9266 8738 6.82112943787488 29 2 "Bow Road "
9532 8926 6.82112943787488 29 2 "Bow Road "
9698 9158 6.82112943787488 29 2 "Bow Road "
9646 9124 6.82112943787488 29 2 "Bow Road "
10002 8564 6.82112943787488 29 2 "Bow Road "
4343 3532 8.08594476618825 30 3 "Brent Cross "
4343 3584 8.08594476618825 30 3 "Brent Cross "
3873 4065 8.08594476618825 30 3 "Brent Cross "
4300 3474 8.08594476618825 30 3 "Brent Cross "
3817 3690 8.08594476618825 30 3 "Brent Cross "
4100 3367 8.08594476618825 30 3 "Brent Cross "
3900 3965 8.08594476618825 30 3 "Brent Cross "
3716 3694 8.08594476618825 30 3 "Brent Cross "
3547 4213 8.08594476618825 30 3 "Brent Cross "
4220 3351 8.08594476618825 30 3 "Brent Cross "
5832 5556 7.71264113476847 31 2 "Bromley By Bow "
5951 5654 7.71264113476847 31 2 "Bromley By Bow "
5707 5569 7.71264113476847 31 2 "Bromley By Bow "
5981 5675 7.71264113476847 31 2 "Bromley By Bow "
5943 5457 7.71264113476847 31 2 "Bromley By Bow "
5824 5645 7.71264113476847 31 2 "Bromley By Bow "
6072 5734 7.71264113476847 31 2 "Bromley By Bow "
5414 5626 7.71264113476847 31 2 "Bromley By Bow "
5984 5606 7.71264113476847 31 2 "Bromley By Bow "
5726 5494 7.71264113476847 31 2 "Bromley By Bow "
3323 3167 15.8454718646025 32 5 "Buckhurst Hill "
3389 3295 15.8454718646025 32 5 "Buckhurst Hill "
3437 3330 15.8454718646025 32 5 "Buckhurst Hill "
3383 3201 15.8454718646025 32 5 "Buckhurst Hill "
3304 3063 15.8454718646025 32 5 "Buckhurst Hill "
3261 3123 15.8454718646025 32 5 "Buckhurst Hill "
3382 3300 15.8454718646025 32 5 "Buckhurst Hill "
3434 3350 15.8454718646025 32 5 "Buckhurst Hill "
3465 3222 15.8454718646025 32 5 "Buckhurst Hill "
3455 3261 15.8454718646025 32 5 "Buckhurst Hill "
7606 5891 12.6435265243304 33 4 "Burnt Oak "
7041 6829 12.6435265243304 33 4 "Burnt Oak "
6925 6751 12.6435265243304 33 4 "Burnt Oak "
7864 6034 12.6435265243304 33 4 "Burnt Oak "
7773 6181 12.6435265243304 33 4 "Burnt Oak "
7587 5993 12.6435265243304 33 4 "Burnt Oak "
7814 6109 12.6435265243304 33 4 "Burnt Oak "
7632 5928 12.6435265243304 33 4 "Burnt Oak "
7617 6044 12.6435265243304 33 4 "Burnt Oak "
7308 6043 12.6435265243304 33 4 "Burnt Oak "
9165 8706 1.91454114475119 35 2 "Caledonian Road "
9718 9067 1.91454114475119 35 2 "Caledonian Road "
9717 9070 1.91454114475119 35 2 "Caledonian Road "
9985 9224 1.91454114475119 35 2 "Caledonian Road "
10159 9188 1.91454114475119 35 2 "Caledonian Road "
9573 8993 1.91454114475119 35 2 "Caledonian Road "
10525 9118 1.91454114475119 35 2 "Caledonian Road "
10045 9385 1.91454114475119 35 2 "Caledonian Road "
10063 9419 1.91454114475119 35 2 "Caledonian Road "
10060 9047 1.91454114475119 35 2 "Caledonian Road "
28940 29471 1.69060215411157 36 2 "Camden Town "
30900 31383 1.69060215411157 36 2 "Camden Town "
31786 32818 1.69060215411157 36 2 "Camden Town "
32444 34097 1.69060215411157 36 2 "Camden Town "
33910 37644 1.69060215411157 36 2 "Camden Town "
28764 30183 1.69060215411157 36 2 "Camden Town "
29203 30229 1.69060215411157 36 2 "Camden Town "
29008 29939 1.69060215411157 36 2 "Camden Town "
31203 32510 1.69060215411157 36 2 "Camden Town "
35048 40072 1.69060215411157 36 2 "Camden Town "
13861 12605 3.16279926365219 37 1 "Cannon Street  LU "
